time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,9,4,0,0
2026-06-01 00:00:00+00:00,16,7,0,0
2026-06-02 00:00:00+00:00,10,5,0,0
2026-06-03 00:00:00+00:00,2,2,0,0
2026-06-04 00:00:00+00:00,8,4,0,0
2026-06-05 00:00:00+00:00,13,4,0,0
2026-06-06 00:00:00+00:00,24,18,0,0
2026-06-07 00:00:00+00:00,17,8,0,0
2026-06-08 00:00:00+00:00,22,9,0,0
2026-06-09 00:00:00+00:00,1,1,0,0
2026-06-10 00:00:00+00:00,15,8,0,0
2026-06-11 00:00:00+00:00,16,7,0,0
2026-06-12 00:00:00+00:00,21,7,0,0
2026-06-13 00:00:00+00:00,19,10,0,0
