time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,10,5,0,0
2026-05-11 00:00:00+00:00,7,3,0,0
2026-05-12 00:00:00+00:00,32,9,0,0
2026-05-13 00:00:00+00:00,27,8,0,0
2026-05-14 00:00:00+00:00,26,9,0,0
2026-05-15 00:00:00+00:00,11,6,0,0
2026-05-16 00:00:00+00:00,33,12,0,0
2026-05-17 00:00:00+00:00,9,4,0,0
2026-05-18 00:00:00+00:00,3,3,0,0
2026-05-19 00:00:00+00:00,11,6,0,0
2026-05-20 00:00:00+00:00,20,7,0,0
2026-05-21 00:00:00+00:00,23,10,0,0
2026-05-22 00:00:00+00:00,14,4,0,0
2026-05-23 00:00:00+00:00,12,7,1,1
