time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,13,4,0,0
2026-06-06 00:00:00+00:00,24,18,0,0
2026-06-07 00:00:00+00:00,17,8,0,0
2026-06-08 00:00:00+00:00,22,9,0,0
2026-06-09 00:00:00+00:00,1,1,0,0
2026-06-10 00:00:00+00:00,15,8,0,0
2026-06-11 00:00:00+00:00,16,7,0,0
2026-06-12 00:00:00+00:00,21,7,0,0
2026-06-13 00:00:00+00:00,19,10,0,0
2026-06-14 00:00:00+00:00,30,10,0,0
2026-06-15 00:00:00+00:00,24,9,0,0
2026-06-16 00:00:00+00:00,20,7,0,0
2026-06-17 00:00:00+00:00,22,8,0,0
2026-06-18 00:00:00+00:00,34,10,0,0
